wavelength (nm),c_extinction,c_scattering,kappa,g,P_max,Thetmax
20800.0,1.0589,0.44143,4438500000000000.0,0.14835,0.99733,92.0
20900.0,1.0222,0.43024,4284600000000000.0,0.14677,0.99746,92.0
21000.0,0.98796,0.41928,4141100000000000.0,0.1452,0.99759,92.0
21100.0,0.95615,0.40854,4007800000000000.0,0.14367,0.99771,92.0
21200.0,0.92655,0.39805,3883700000000000.0,0.14215,0.99782,92.0
21300.0,0.89701,0.3879,3759900000000000.0,0.14066,0.99793,92.0
21400.0,0.86862,0.37803,3640900000000000.0,0.13919,0.99803,92.0
21500.0,0.84136,0.36842,3526600000000000.0,0.13775,0.99812,92.0
21600.0,0.81518,0.35907,3416900000000000.0,0.13633,0.99821,92.0
21700.0,0.78925,0.35003,3308200000000000.0,0.13493,0.99829,92.0
21800.0,0.76455,0.34121,3204700000000000.0,0.13355,0.99836,92.0
21900.0,0.74108,0.3326,3106300000000000.0,0.13219,0.99844,92.0
22000.0,0.71881,0.32421,3013000000000000.0,0.13086,0.9985,92.0
22100.0,0.69816,0.31594,2926400000000000.0,0.12954,0.99857,92.0
